Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Hepatitis B	22/162	3.369577e-07	9.636992e-05	0	0	3.966402e+00	5.911251e+01	IFNA4;MAP2K1;CDKN1A;IFNA1;SRC;NFATC1;TNF;RELA;DDB2;MAPK11;PIK3CA;CREB3L1;CDK2;BCL2;STAT4;EP300;BAX;FAS;STAT6;MAP2K7;IKBKE;JAK3
KEGG_2021_Human	Human immunodeficiency virus 1 infection	24/212	2.849132e-06	4.074259e-04	0	0	3.222642e+00	4.114830e+01	APOBEC3C;IFNA4;MAP2K1;APOBEC3F;IFNA1;CALML3;NFATC1;TNF;RELA;GNAO1;MAPK11;CD4;PIK3CA;GNG5;GNB2;CHEK1;CFL1;GNB1;PLCG2;BCL2;FAS;BAX;MAP2K7;CUL4B
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	22/193	6.547090e-06	6.241559e-04	0	0	3.242071e+00	3.869895e+01	IFNA4;CDKN1A;MAP2K1;IFNA1;SRC;CALML3;NFATC1;CXCL1;RELA;MAPK11;PIK3CA;GNG5;GNB2;MAPKAPK2;GNB1;PLCG2;CCR8;FAS;EP300;BAX;MAP2K7;IKBKE
KEGG_2021_Human	Lipid and atherosclerosis	23/215	1.172230e-05	8.381444e-04	0	0	3.019385e+00	3.428215e+01	ABCA1;CAMK2B;IFNA4;IFNA1;NCF1;SRC;CAMK2A;LY96;CALML3;NFATC1;CXCL1;APOA4;TNF;RELA;CYP2C9;MAPK11;PIK3CA;BCL2;FAS;BAX;APOB;MAP2K7;IKBKE
KEGG_2021_Human	Circadian entrainment	14/97	2.263798e-05	1.294892e-03	0	0	4.225478e+00	4.519521e+01	CAMK2B;CAMK2A;CALML3;ADCY1;CACNA1H;ADCY6;CACNA1G;GRIN2D;GNAO1;PER1;GNG5;MTNR1B;GNB2;GNB1
KEGG_2021_Human	Cholinergic synapse	15/113	3.221884e-05	1.535765e-03	0	0	3.836360e+00	3.967932e+01	CAMK2B;ACHE;MAP2K1;CHRNA6;CAMK2A;ADCY1;ADCY6;GNAO1;PIK3CA;GNG5;CREB3L1;GNB2;GNB1;KCNQ3;BCL2
KEGG_2021_Human	Pathways in cancer	40/531	5.529002e-05	2.258992e-03	0	0	2.067679e+00	2.026929e+01	CAMK2B;CSF1R;IFNA4;CDKN1A;IFNA1;FLT3;CAMK2A;GSTT1;CALML3;KLK3;ADCY1;ADCY6;RELA;BBC3;GNG5;DVL1;PLCG2;STAT4;EP300;STAT6;VHL;JAK3;MAP2K1;DAPK2;ZBTB16;IGF2;ESR1;PML;ESR2;DDB2;IL4;SMO;PIK3CA;GNB2;CDK2;GNB1;BCL2;MDM2;FAS;BAX
KEGG_2021_Human	Tuberculosis	19/180	7.911543e-05	2.828377e-03	0	0	2.963682e+00	2.799080e+01	CAMK2B;PLK3;IFNA4;ITGAM;IFNA1;SRC;CAMK2A;CALML3;TNF;RELA;IL1A;MAPK11;HLA-DMB;BCL2;EP300;ATP6V1H;BAX;FCGR2B;ATP6V0C
KEGG_2021_Human	cAMP signaling pathway	21/216	1.121557e-04	3.564059e-03	0	0	2.706818e+00	2.462020e+01	CAMK2B;MAP2K1;EDN2;PDE4D;CAMK2A;HTR1B;CALML3;NFATC1;ADCY1;HTR4;ADCY6;RELA;GRIN2D;HTR6;PIK3CA;CREB3L1;PLCE1;EP300;SOX9;DRD1;VIP
KEGG_2021_Human	Neuroactive ligand-receptor interaction	28/341	1.742039e-04	4.982233e-03	0	0	2.255387e+00	1.952101e+01	PTH;GRIK5;CHRNA6;HTR2C;HTR4;GRM1;BRS3;HTR6;CHRNE;DRD1;HCRT;NTSR2;EDN2;P2RY14;SCTR;TACR3;HTR1B;GPR50;SSTR3;ADRA2A;GRIN2D;P2RX7;MC1R;CCKBR;MTNR1B;ADORA2B;VIP;F2RL2
KEGG_2021_Human	Human cytomegalovirus infection	21/225	1.986142e-04	5.163970e-03	0	0	2.586176e+00	2.204494e+01	IFNA4;CDKN1A;MAP2K1;IFNA1;SRC;CALML3;NFATC1;ADCY1;TNF;ADCY6;RELA;GNAO1;MAPK11;PIK3CA;GNG5;CREB3L1;GNB2;GNB1;MDM2;FAS;BAX
KEGG_2021_Human	Influenza A	17/172	4.038795e-04	8.748252e-03	0	0	2.747989e+00	2.147387e+01	IFNA4;MAP2K1;IFNA1;TNF;RELA;PML;ACTG1;SOCS3;IL1A;NXF1;HLA-DMB;PIK3CA;KPNA6;EP300;BAX;FAS;IKBKE
KEGG_2021_Human	Osteoclast differentiation	14/127	4.289268e-04	8.748252e-03	0	0	3.098805e+00	2.402883e+01	CSF1R;MAP2K1;NCF1;NFATC1;LILRB3;TNF;RELA;SOCS3;IL1A;MAPK11;PIK3CA;PLCG2;MAP2K7;FCGR2B
